date,home_team,scroe,away_team
26-09-2020,Brescia,1 - 1,Ascoli
03-10-2020,Ascoli,0 - 2,Lecce
17-10-2020,Frosinone,1 - 0,Ascoli
20-10-2020,Ascoli,2 - 1,Reggiana
24-10-2020,Salernitana,1 - 0,Ascoli
31-10-2020,Ascoli,0 - 1,Pordenone
22-11-2020,Ascoli,1 - 1,Virtus Entella
28-11-2020,Venezia,2 - 1,Ascoli
04-12-2020,Ascoli,0 - 2,Pescara
08-12-2020,Pisa,2 - 1,Ascoli
12-12-2020,Cremonese,3 - 3,Ascoli
15-12-2020,Ascoli,0 - 3,Nuova Cosenza
19-12-2020,Vicenza Virtus,2 - 1,Ascoli
22-12-2020,Monza,2 - 0,Ascoli
27-12-2020,Ascoli,2 - 0,Spal
30-12-2020,Empoli,1 - 1,Ascoli
04-01-2021,Ascoli,2 - 1,Reggina
16-01-2021,Cittadella,1 - 0,Ascoli
23-01-2021,Ascoli,0 - 0,Chievo
30-01-2021,Ascoli,2 - 1,Brescia
05-02-2021,Lecce,1 - 2,Ascoli
09-02-2021,Ascoli,1 - 1,Frosinone
14-02-2021,Reggiana,1 - 0,Ascoli
20-02-2021,Ascoli,0 - 2,Salernitana
27-02-2021,Pordenone,1 - 1,Ascoli
02-03-2021,Ascoli,0 - 2,Pisa
06-03-2021,Virtus Entella,0 - 0,Ascoli
13-03-2021,Ascoli,1 - 1,Venezia
16-03-2021,Pescara,2 - 3,Ascoli
19-03-2021,Ascoli,0 - 0,Cremonese
02-04-2021,Nuova Cosenza,2 - 1,Ascoli
05-04-2021,Ascoli,2 - 1,Vicenza Virtus
10-04-2021,Ascoli,1 - 0,Monza
16-04-2021,Spal,1 - 2,Ascoli
01-05-2021,Ascoli,2 - 0,Empoli
04-05-2021,Reggina,2 - 2,Ascoli
07-05-2021,Ascoli,2 - 0,Cittadella
10-05-2021,Chievo,3 - 0,Ascoli
26-09-2020,Brescia,1 - 1,Ascoli
04-10-2020,Cittadella,3 - 0,Brescia
16-10-2020,Brescia,3 - 0,Lecce
20-10-2020,Chievo,1 - 0,Brescia
31-10-2020,Brescia,2 - 2,Virtus Entella
07-11-2020,Nuova Cosenza,1 - 2,Brescia
21-11-2020,Brescia,2 - 2,Venezia
28-11-2020,Brescia,1 - 2,Frosinone
05-12-2020,Reggina,2 - 1,Brescia
08-12-2020,Cremonese,2 - 2,Brescia
12-12-2020,Brescia,3 - 1,Salernitana
15-12-2020,Pordenone,1 - 1,Brescia
19-12-2020,Brescia,3 - 1,Reggiana
22-12-2020,Pescara,1 - 1,Brescia
27-12-2020,Brescia,1 - 3,Empoli
30-12-2020,Spal,2 - 3,Brescia
04-01-2021,Brescia,0 - 3,Vicenza Virtus
16-01-2021,Pisa,1 - 0,Brescia
25-01-2021,Brescia,0 - 1,Monza
30-01-2021,Ascoli,2 - 1,Brescia
06-02-2021,Brescia,3 - 3,Cittadella
09-02-2021,Lecce,2 - 2,Brescia
14-02-2021,Brescia,1 - 0,Chievo
20-02-2021,Brescia,1 - 2,Cremonese
27-02-2021,Virtus Entella,1 - 1,Brescia
02-03-2021,Brescia,2 - 0,Nuova Cosenza
06-03-2021,Venezia,0 - 1,Brescia
13-03-2021,Frosinone,0 - 1,Brescia
16-03-2021,Brescia,1 - 0,Reggina
21-03-2021,Salernitana,1 - 0,Brescia
02-04-2021,Brescia,4 - 1,Pordenone
